ExpPlant,Block,Pot,Trt,Treatment,Fvert,Umaydis,UmKey,Plant_pot,Height19,Smut20,Infect,LH_stage,Path_persist,PlantLives2,GallWT,LnGallWT,Vir,InVir,InVir_sd,n_Umx,InVir_pooledSD
1,1,1,23,U2-21,0,22,22,1,45,1,1,0,0,1,0,0,13.4,8.21,14.76,47,11.95
2,1,1,23,U2-21,0,22,22,2,40,2,1,2,1,1,36.6,3.6,18.4,8.21,14.76,47,11.95
3,1,1,23,U2-21,0,22,22,3,53.5,0,0,0,0,1,0,0,4.9,8.21,14.76,47,11.95
4,1,1,23,U2-21,0,22,22,4,50,1,1,0,0,1,0,0,8.4,8.21,14.76,47,11.95
5,1,1,23,U2-21,0,22,22,5,24,4,1,3,1,1,189.1,5.24,34.4,8.21,14.76,47,11.95
6,1,1,23,U2-21,0,22,22,6,47,0,0,0,0,1,0,0,11.4,8.21,14.76,47,11.95
7,1,2,48,F1-U2-21,1,22,22,1,50,1,1,0,0,1,0,0,10.2,8.21,14.76,47,11.95
8,1,2,48,F1-U2-21,1,22,22,2,61,0,0,0,0,1,0,0,-0.8,8.21,14.76,47,11.95
9,1,2,48,F1-U2-21,1,22,22,3,52,0,0,0,0,1,0,0,8.2,8.21,14.76,47,11.95
10,1,2,48,F1-U2-21,1,22,22,4,54,1,1,0,0,1,0,0,6.2,8.21,14.76,47,11.95
11,1,2,48,F1-U2-21,1,22,22,5,48,0,0,0,0,1,0,0,12.2,8.21,14.76,47,11.95
12,1,2,48,F1-U2-21,1,22,22,6,41,0,0,0,0,1,0,0,19.2,8.21,14.76,47,11.95
13,1,3,72,F2-U2-20,2,21,21,1,44,1,1,0,0,1,0,0,15.8,22.16,17.23,46,13.45
14,1,3,72,F2-U2-20,2,21,21,2,15,3,1,3,1,1,83.8,4.43,44.8,22.16,17.23,46,13.45
15,1,3,72,F2-U2-20,2,21,21,3,46,1,1,0,0,1,0,0,13.8,22.16,17.23,46,13.45
16,1,3,72,F2-U2-20,2,21,21,4,25,3,1,3,1,1,271.4,5.6,34.8,22.16,17.23,46,13.45
17,1,3,72,F2-U2-20,2,21,21,5,31,3,1,3,1,1,226.3,5.42,28.8,22.16,17.23,46,13.45
18,1,3,72,F2-U2-20,2,21,21,6,53,0,0,0,0,1,0,0,6.8,22.16,17.23,46,13.45
19,1,4,58,F2-U2-6,2,7,7,1,36,3,1,3,1,1,280.5,5.64,23.8,23.44,15.95,46,12.65
20,1,4,58,F2-U2-6,2,7,7,2,23,4,1,3,1,1,214.4,5.37,36.8,23.44,15.95,46,12.65
21,1,4,58,F2-U2-6,2,7,7,3,58,0,0,0,0,1,0,0,1.8,23.44,15.95,46,12.65
22,1,4,58,F2-U2-6,2,7,7,4,31,3,1,3,1,1,425.6,6.05,28.8,23.44,15.95,46,12.65
23,1,4,58,F2-U2-6,2,7,7,5,54,1,1,0,0,1,0,0,5.8,23.44,15.95,46,12.65
24,1,4,58,F2-U2-6,2,7,7,6,52,1,1,0,0,1,0,0,7.8,23.44,15.95,46,12.65
25,1,5,8,U2-6,0,7,7,1,21,4,1,3,1,1,89.7,4.5,37.4,23.44,15.95,46,12.65
26,1,5,8,U2-6,0,7,7,2,49,0,0,0,0,1,0,0,9.4,23.44,15.95,46,12.65
27,1,5,8,U2-6,0,7,7,3,46,1,1,0,0,1,0,0,12.4,23.44,15.95,46,12.65
28,1,5,8,U2-6,0,7,7,4,54,0,0,0,0,1,0,0,4.4,23.44,15.95,46,12.65
29,1,5,8,U2-6,0,7,7,5,59,1,1,2,1,1,354.1,5.87,-0.6,23.44,15.95,46,12.65
30,1,5,8,U2-6,0,7,7,6,53,0,0,0,0,1,0,0,5.4,23.44,15.95,46,12.65
31,1,6,18,U2-16,0,17,17,1,22,3,1,3,1,1,170.7,5.14,36.4,26.29,13.79,46,11.32
32,1,6,18,U2-16,0,17,17,2,58,0,0,0,0,1,0,0,0.4,26.29,13.79,46,11.32
33,1,6,18,U2-16,0,17,17,3,46,1,1,0,0,1,0,0,12.4,26.29,13.79,46,11.32
34,1,6,18,U2-16,0,17,17,4,30,3,1,3,1,1,556.1,6.32,28.4,26.29,13.79,46,11.32
35,1,6,18,U2-16,0,17,17,5,19,4,1,3,1,1,66.3,4.19,39.4,26.29,13.79,46,11.32
